user_id,experiment_type,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,overall
2086,abstraction,95,10,30,90,75,5,50.83333333
242,reward_shaping,50,5,50,30,30,10,29.16666667
3052,similarities,85,5,55,60,80,65,58.33333333
3021,abstraction,90,5,80,35,95,30,55.83333333
2038,similarities,95,5,80,65,65,70,63.33333333
2011,similarities,75,10,100,85,65,85,70
2044,reward_shaping,25,25,90,90,25,70,54.16666667
2084,similarities,60,5,40,30,15,45,32.5
3011,abstraction,60,15,25,50,50,60,43.33333333
2042,abstraction,30,5,45,80,25,5,31.66666667
3011,reward_shaping,35,15,10,10,25,15,18.33333333
2037,abstraction,70,15,95,35,70,55,56.66666667
3090,abstraction,65,5,65,45,55,65,50
2086,similarities,90,5,90,80,70,25,60
2044,abstraction,30,30,5,20,20,25,21.66666667
2084,reward_shaping,25,5,25,35,15,35,23.33333333
2038,reward_shaping,50,5,25,90,55,20,40.83333333
3165,similarities,60,50,45,15,25,60,42.5
3052,abstraction,70,5,65,40,75,60,52.5
3021,reward_shaping,35,5,25,20,60,15,26.66666667
265,reward_shaping,50,20,60,50,55,30,44.16666667
2042,similarities,35,5,70,25,35,5,29.16666667
3011,similarities,80,10,65,95,30,55,55.83333333
242,similarities,100,5,100,100,100,10,69.16666667
3090,similarities,65,5,70,55,45,50,48.33333333
3052,reward_shaping,65,25,30,20,60,20,36.66666667
2042,reward_shaping,15,5,5,30,15,5,12.5
2084,abstraction,25,5,20,45,25,15,22.5
2038,abstraction,85,10,50,55,70,60,55
2011,reward_shaping,50,5,65,80,55,40,49.16666667
2044,similarities,75,25,100,40,70,55,60.83333333
3011,reward_shaping,65,25,45,40,60,60,52.5
3165,abstraction,85,70,55,5,60,15,48.33333333
2037,reward_shaping,70,70,100,15,70,100,70.83333333
2011,abstraction,55,5,25,85,20,20,35
3011,similarities,50,35,50,30,60,60,47.5
242,abstraction,30,5,5,25,10,10,14.16666667
3165,reward_shaping,80,60,30,95,70,25,60
2037,similarities,75,40,90,40,60,85,65
3021,similarities,85,10,100,15,95,60,60.83333333
265,abstraction,50,15,70,55,40,55,47.5
3011,abstraction,50,15,45,55,45,35,40.83333333
2086,reward_shaping,35,15,5,15,15,15,16.66666667
3090,reward_shaping,45,25,25,35,30,5,27.5
667,similarities,55,50,50,60,65,55,55.83333333
265,similarities,55,30,85,30,55,65,53.33333333
667,abstraction,65,15,15,15,20,5,22.5
667,reward_shaping,15,15,25,15,15,15,16.66666667
